,the_geom,PMAID,NAME,ADDRESS,LOCID,AMWO_ID,RES1,RES2,POINT_X,POINT_Y,closest sidewalk id,closest sidewalk point
73,POINT (-122.26072144520298 47.54233096088759),432,Martha Washington Park,6612 57th Ave S,,,,,1287887.65609606,201095.56775063,22924,POINT (-122.2536654423589 47.67156461734921)
74,POINT (-122.27424551368865 47.702575255118035),476,Burke-Gilman Trail,From NE 145 St south on Lake Washington to Ballard,,,,,1285642.30461565,259599.14398472,22924,POINT (-122.2536654423589 47.67156461734921)
75,POINT (-122.39418597816243 47.526960238646964),460,Lincoln Park,8011 Fauntleroy Way SW,,,,,1254815.88693789,196129.98516214,22924,POINT (-122.2536654423589 47.67156461734921)
76,POINT (-122.41435704727978 47.65822838240066),310,Discovery Park,3801 Discovery Park Blvd,,,,,1250817.05864948,244103.64708863,22924,POINT (-122.2536654423589 47.67156461734921)
77,POINT (-122.28744673060868 47.55989014436503),4034,Columbia Park,4721 Rainier Ave S,,,,,1281408.97646815,207622.96972205,22924,POINT (-122.2536654423589 47.67156461734921)
78,POINT (-122.37576200016704 47.56101619286315),4465,Rotary Viewpoint,4622 35th Ave SW,,,,,1259615.78842731,208458.1363588,22924,POINT (-122.2536654423589 47.67156461734921)
79,POINT (-122.41609152554196 47.57317212353891),80,Charles Richey Sr Viewpoint,3521 Beach Dr SW,,,,,1249751.65034723,213093.42531656,22924,POINT (-122.2536654423589 47.67156461734921)
80,POINT (-122.32504255513295 47.64786994702615),2975,Fairview Park,2900 Fairview Ave E,,,,,1272750.07318231,239886.56333122,22924,POINT (-122.2536654423589 47.67156461734921)
81,POINT (-122.27677919455839 47.63546067574103),369,Madison Park,4201 E Madison St,,,,,1284559.39142714,235134.03313814,22924,POINT (-122.2536654423589 47.67156461734921)
82,POINT (-122.34385395937615 47.610179129912424),338,Victor Steinbrueck Park,2001 Western Ave,,,,,1267844.31757389,226231.34654722,22924,POINT (-122.2536654423589 47.67156461734921)
83,POINT (-122.29704154469796 47.58271307931018),3923,"Martin Luther King, Jr. Memorial",2200 Martin Luther King Jr. way South,,,,,1279198.7180934,215991.37916631,22924,POINT (-122.2536654423589 47.67156461734921)
84,POINT (-122.28165245390845 47.6269837462514),4013,McGilvra Boulevard,1099 McGilvra Blvd E,,,,,1283299.92347364,232065.06289813,22924,POINT (-122.2536654423589 47.67156461734921)
85,POINT (-122.34522731784939 47.608630868401306),274,Piers 62 and 63,1951 Alaskan Way,,,,,1267494.52562256,225673.35553722,22924,POINT (-122.2536654423589 47.67156461734921)
