,id,forward,incline,layer,side,street_name,surface,width,length,v_coordinates,u_coordinates,adjacent_parks
629,14230,1.0,-3,0,W,PHINNEY AVE N,concrete,1.8288,62.925548468069145,"[-122.35454992306205, 47.66848682052959]","[-122.35454541931497, 47.66905298178785]",[]
630,14255,1.0,0,0,N,N 60TH ST,concrete,1.8288,4.0186633983584334,"[-122.33248506284127, 47.67236769237932]","[-122.33243153273689, 47.67236731646235]",[]
631,14256,1.0,30,0,N,N 60TH ST,concrete,1.8288,73.96851929429845,"[-122.3334703514576, 47.67237460714085]","[-122.33248506284127, 47.67236769237932]",[]
632,14312,1.0,-62,0,SW,KIRKWOOD PL N,concrete,1.8288,82.77569238636981,"[-122.33364760976721, 47.67179321827644]","[-122.33450902765962, 47.672258143277745]",[]
633,14332,1.0,7,0,N,NE 53RD ST,concrete,1.8288,74.56185831651153,"[-122.32060282743055, 47.66718435050912]","[-122.31960973047859, 47.667177679106395]",[]
634,14380,0.0,89,0,S,N 60TH ST,concrete,1.8288,97.18429023117287,"[-122.35003836069082, 47.67239047788104]","[-122.35133294667459, 47.67239508557262]",[]
635,14453,1.0,6,0,SW,WOODLAWN AVE NE,concrete,1.8288,71.90809063306342,"[-122.32601110665242, 47.6817071434782]","[-122.32671296940028, 47.682147534268594]",[]
636,14496,1.0,-37,0,W,DAYTON AVE N,concrete,1.8288,70.90833876801804,"[-122.35268220737598, 47.68111011741355]","[-122.35268059300682, 47.681748109152345]",[]
637,14525,1.0,-54,0,W,WOODLAND PL N,concrete,1.8288,69.64736550159829,"[-122.34775853840124, 47.67463414589048]","[-122.34775319719726, 47.67526078309016]",[]
638,14655,0.0,-21,0,E,DAYTON AVE N,concrete,1.8288,71.2423005387395,"[-122.35251130745746, 47.682501157497526]","[-122.35251732534051, 47.68247624034942]",[]
639,14689,0.0,2,0,E,PHINNEY AVE N,concrete,1.8288,64.59772915922663,"[-122.35423001773435, 47.67381065396357]","[-122.3542343046105, 47.673229446880015]",[]
640,14721,0.0,39,0,E,LINDEN AVE N,concrete,1.8288,29.16193543724974,"[-122.34840806178812, 47.67275982388689]","[-122.34840987641516, 47.67249744403509]",[]
641,14737,0.0,4,0,SE,WINONA AVE N,concrete,1.524,83.56659698028396,"[-122.34165289521484, 47.68391288410668]","[-122.34259195221847, 47.68350888733839]",[]
642,14752,0.0,19,0,S,N 80TH ST,concrete,1.8288,77.41070275194951,"[-122.33799040597945, 47.68686220324838]","[-122.33902186547031, 47.686866766851665]",[]
643,14763,0.0,-97,0,SE,4TH AVE NE,concrete,1.8288,36.177908448230724,"[-122.32334208813693, 47.68348683902541]","[-122.32366998147745, 47.68324824388334]",[]
644,14884,0.0,16,0,E,MERIDIAN AVE N,concrete,1.8288,68.08855157774676,"[-122.3335270420734, 47.66861000892926]","[-122.33357000941184, 47.66799807465475]",[]
645,14897,0.0,-19,0,E,8TH AVE NE,concrete,1.8288,67.04390185344164,"[-122.32016792720422, 47.68669448227417]","[-122.32015860095322, 47.686091294793236]",[]
646,14919,1.0,-3,0,N,N 77TH ST,concrete,1.8288,77.63134446925922,"[-122.33153948865709, 47.68513969486354]","[-122.3305052497826, 47.685127886336524]",[]
647,14943,1.0,2,0,N,NE 56TH ST,concrete,1.8288,191.8274845879049,"[-122.32001799599753, 47.66937657774896]","[-122.31755881663814, 47.66936050014419]",[]
648,14948,1.0,35,0,SW,WEEDIN PL NE,concrete,1.8288,80.06568191528093,"[-122.32217088338324, 47.67876618081865]","[-122.32261011534133, 47.67923749101815]",[]
649,14949,1.0,0,0,SW,WEEDIN PL NE,concrete,1.8288,1.9558315605540337,"[-122.32215700395743, 47.67875128757731]","[-122.32217088338324, 47.67876618081865]",[]
650,14993,1.0,0,0,N,N 70TH ST,concrete,1.8288,6.966081391507202,"[-122.35335050044984, 47.67971197703617]","[-122.35325769171082, 47.679711819372905]",[]
651,14994,1.0,-104,0,N,N 70TH ST,concrete,1.8288,70.9592018875446,"[-122.35429588627083, 47.67971357877819]","[-122.35335050044984, 47.67971197703617]",[]
652,14995,1.0,0,0,N,N 70TH ST,concrete,1.8288,6.245874923898813,"[-122.35437909974989, 47.67971371939157]","[-122.35429588627083, 47.67971357877819]",[]
653,15055,0.0,0,0,E,ASHWORTH AVE N,concrete,1.524,6.286052620625601,"[-122.3390098322019, 47.68555724947414]","[-122.33900924555735, 47.68550069266615]",[]
654,15056,0.0,-15,0,E,ASHWORTH AVE N,concrete,1.524,57.87039434020133,"[-122.3390152329738, 47.68607792036471]","[-122.3390098322019, 47.68555724947414]",[]
655,15057,0.0,98,0,S,N 65TH ST,concrete,1.8288,42.027498861403096,"[-122.35273699637534, 47.676002030203385]","[-122.35329686913687, 47.67600518571974]",[]
656,15058,0.0,0,0,S,N 65TH ST,concrete,1.8288,6.727221330912937,"[-122.35264737915536, 47.67600152485531]","[-122.35273699637534, 47.676002030203385]",[]
657,15086,1.0,-5,0,NW,MCKINLEY PL N,concrete,1.8288,108.07814590927936,"[-122.33453144440399, 47.67241832381313]","[-122.33362579465806, 47.67317426015698]",[]
658,15100,0.0,13,0,S,NE 60TH ST,concrete,1.8288,189.391674278035,"[-122.32560708544823, 47.6722067780938]","[-122.32812984489894, 47.672224499886475]",[]
659,15114,0.0,20,0,E,WOODLAWN AVE N,concrete,1.8288,128.47679940392985,"[-122.33094677597377, 47.677169723361835]","[-122.33125511679961, 47.676032676136586]",[]
660,15115,0.0,0,0,E,WOODLAWN AVE N,concrete,1.8288,5.866085542795336,"[-122.33093269720203, 47.67722163945011]","[-122.33094677597377, 47.677169723361835]",[]
661,15140,0.0,18,0,E,8TH AVE NE,concrete,1.8288,68.14793976776556,"[-122.32001126161158, 47.6714414730957]","[-122.32001337516147, 47.67082831932189]",[]
662,15141,1.0,64,0,W,MERIDIAN AVE N,concrete,1.8288,86.51601055222575,"[-122.33311012588283, 47.685157667007644]","[-122.3331192148099, 47.68593606244196]",[]
663,15206,0.0,0,0,E,MERIDIAN AVE N,concrete,1.8288,67.88141851641483,"[-122.333586938093, 47.666438084710705]","[-122.33359234508535, 47.665827336894324]",[]
664,15241,0.0,0,0,E,MERIDIAN AVE N,concrete,1.8288,6.820086663441557,"[-122.33295795377103, 47.6860542179652]","[-122.33295339652568, 47.6859929320951]",[]
665,15242,0.0,-31,0,E,MERIDIAN AVE N,concrete,1.8288,87.13753158486382,"[-122.3330161807532, 47.68683724305486]","[-122.33295795377103, 47.6860542179652]",[]
666,15286,0.0,18,0,S,NE 59TH ST,concrete,1.8288,188.3058547736749,"[-122.3256327017371, 47.67149417363096]","[-122.32814096198388, 47.67151189657712]",[]
667,15340,0.0,28,0,S,WOODLAWN AVE N,concrete,1.8288,71.30662503100729,"[-122.3284373110798, 47.67746535901704]","[-122.32938544653824, 47.67750526527984]",[]
668,15434,1.0,14,0,NW,WOODLAWN AVE NE,concrete,2.286,12.16065369791273,"[-122.32500337994169, 47.678928707186024]","[-122.32494298206733, 47.67903023428046]",[]
669,15491,0.0,64,0,S,N 73RD ST,concrete,1.8288,190.6432614919719,"[-122.34997405539063, 47.68174720915212]","[-122.35251409169396, 47.68174805378283]",[]
670,15499,0.0,-27,0,S,N 64TH ST,concrete,1.8288,189.53669073739835,"[-122.3282510095645, 47.675111302235734]","[-122.33077564116816, 47.67513916502516]",[]
671,15536,0.0,-4,0,S,NE RAVENNA BLVD,concrete,2.4383999999999997,24.253971628930696,"[-122.32590953490885, 47.67895169299303]","[-122.32590953599309, 47.678951692906246]",[]
672,15537,0.0,-4,0,S,NE RAVENNA BLVD,concrete,2.4383999999999997,65.77965739667135,"[-122.32512015313785, 47.67875363658626]","[-122.32521088830731, 47.6787995744187]",[]
673,15636,1.0,-15,0,W,LATONA AVE NE,concrete,1.8288,65.4127934729157,"[-122.32565618398046, 47.66868478319417]","[-122.3256471787954, 47.66927329847605]",[]
674,15663,1.0,97,0,N,N 65TH ST,concrete,1.8288,81.96072772841954,"[-122.33251386697728, 47.67603816688301]","[-122.33142212573834, 47.676026281836094]",[]
675,15671,1.0,-9,0,W,EVANSTON AVE N,concrete,1.8288,66.79994831767888,"[-122.35149854867797, 47.67250811570586]","[-122.3514944220818, 47.67310913780404]",[]
676,15687,0.0,0,0,S,N 62ND ST,concrete,1.8288,6.245833185348036,"[-122.34986244879109, 47.6738154685813]","[-122.34994565127613, 47.67381578123638]",[]
677,15688,0.0,131,0,S,N 62ND ST,concrete,1.8288,97.20784169729774,"[-122.3485675162411, 47.673810594756624]","[-122.34986244879109, 47.6738154685813]",[]
678,15699,0.0,-2,0,SE,WEST GREEN LAKE DR N,N/A,1.8288,29.485319689916395,"[-122.34421569544523, 47.68130202225735]","[-122.34423261010681, 47.68129358789415]",['GREEN LAKE PARK']
679,15700,0.0,-2,0,SE,WEST GREEN LAKE DR N,N/A,1.8288,213.14818862957858,"[-122.34164241886099, 47.68207811511427]","[-122.34168068538767, 47.68206095733569]",['GREEN LAKE PARK']
680,15701,0.0,0,0,SE,WEST GREEN LAKE DR N,N/A,1.8288,5.281726514365775,"[-122.34158379318718, 47.68210440139173]","[-122.34164241886099, 47.68207811511427]",['GREEN LAKE PARK']
681,15739,1.0,8,0,N,N 53RD ST,concrete,1.8288,105.0670708851149,"[-122.33993687451719, 47.667141774971114]","[-122.33907387215437, 47.667140930438144]",[]
682,15747,1.0,-4,0,NW,WEST GREEN LAKE DR N,concrete,1.8288,86.51622997347042,"[-122.3390069821541, 47.68528122813067]","[-122.33888772103974, 47.68535233346098]",[]
683,15748,0.0,-33,0,E,1ST AVE NE,concrete,1.8288,187.0274085311987,"[-122.32822024599741, 47.6867828998821]","[-122.32819619529383, 47.68510021769726]",[]
684,15775,1.0,15,0,N,NE 62ND ST,concrete,1.8288,49.860123106850594,"[-122.31945464404808, 47.67340112037]","[-122.31879045817425, 47.67339783238574]",[]
685,15826,1.0,-12,0,SW,WEEDIN PL NE,concrete,1.8288,181.09248785061237,"[-122.3201840373584, 47.67661063738913]","[-122.32073582884871, 47.67720971556445]",[]
686,15866,1.0,23,0,W,9TH AVE NE,concrete,1.8288,79.80694103758316,"[-122.31878631392597, 47.67504252723223]","[-122.31878471920629, 47.67576058214121]",[]
