,curbramps,marked,st_pkey,street_name,geometry
52,1,1,1012,1ST AVE,"LINESTRING (-122.3437223339533 47.6118653062971, -122.3439115383506 47.61171488253367)"
53,1,1,1013,1ST AVE,"LINESTRING (-122.3440935486337 47.61181160780962, -122.3439043428315 47.61196202905038)"
54,1,1,11366,LENORA ST,"LINESTRING (-122.3439115383506 47.61171488253367, -122.3440935486337 47.61181160780962)"
55,1,1,11367,LENORA ST,"LINESTRING (-122.3439043428315 47.61196202905038, -122.3437223339533 47.6118653062971)"
56,1,1,1013,1ST AVE,"LINESTRING (-122.345031483545 47.61262833520606, -122.3452206228764 47.61247787329335)"
57,1,1,1014,1ST AVE,"LINESTRING (-122.3454034208403 47.61258231770184, -122.3452001665406 47.61273536289794)"
58,1,1,9290,BLANCHARD ST,"LINESTRING (-122.3452206228764 47.61247787329335, -122.3454034208403 47.61258231770184)"
59,1,1,9291,BLANCHARD ST,"LINESTRING (-122.3452001665406 47.61273536289794, -122.345031483545 47.61262833520606)"
60,1,1,1014,1ST AVE,"LINESTRING (-122.3463106146691 47.61339213191309, -122.3465199864303 47.6132427032091)"
61,1,1,1015,1ST AVE,"LINESTRING (-122.3467096448238 47.61335851167649, -122.3465143874252 47.61350535815042)"
62,1,1,9197,BELL ST,"LINESTRING (-122.3465199864303 47.6132427032091, -122.3467096448238 47.61335851167649)"
63,1,1,9198,BELL ST,"LINESTRING (-122.3465143874252 47.61350535815042, -122.3463106146691 47.61339213191309)"
64,1,0,1015,1ST AVE,"LINESTRING (-122.3476192020937 47.61415871375766, -122.347840583222 47.61402731424617)"
65,1,0,1016,1ST AVE,"LINESTRING (-122.3480217454472 47.61413080608143, -122.3478264173863 47.61427761243082)"
66,0,0,9072,BATTERY ST,"LINESTRING (-122.347840583222 47.61402731424617, -122.3480217454472 47.61413080608143)"
67,1,0,9073,BATTERY ST,"LINESTRING (-122.3478264173863 47.61427761243082, -122.3476192020937 47.61415871375766)"
68,1,1,1016,1ST AVE,"LINESTRING (-122.3485670593566 47.61471561485564, -122.3487592447403 47.61456694900699)"
69,1,1,1017,1ST AVE,"LINESTRING (-122.3489252566756 47.61467604465356, -122.3487384161242 47.61482058487125)"
70,1,1,13354,WALL ST,"LINESTRING (-122.3487592447403 47.61456694900699, -122.3489252566756 47.61467604465356)"
71,1,1,13355,WALL ST,"LINESTRING (-122.3487384161242 47.61482058487125, -122.3485670593566 47.61471561485564)"
72,1,0,1017,1ST AVE,"LINESTRING (-122.3494910133936 47.61526556519495, -122.3496656572859 47.6151138127578)"
73,1,0,1018,1ST AVE,"LINESTRING (-122.3498877597448 47.61523787039762, -122.3496833504278 47.61537930741929)"
74,1,0,13301,VINE ST,"LINESTRING (-122.3496656572859 47.6151138127578, -122.3498877597448 47.61523787039762)"
75,1,0,13302,VINE ST,"LINESTRING (-122.3496833504278 47.61537930741929, -122.3494910133936 47.61526556519495)"
76,1,1,1018,1ST AVE,"LINESTRING (-122.3504067925513 47.61580720843467, -122.3506051311104 47.61566217961559)"
77,1,1,1019,1ST AVE,"LINESTRING (-122.350821891051 47.61579036720622, -122.3506330960628 47.61594468357906)"
78,1,1,9639,CEDAR ST,"LINESTRING (-122.3506051311104 47.61566217961559, -122.350821891051 47.61579036720622)"
79,1,1,9640,CEDAR ST,"LINESTRING (-122.3506330960628 47.61594468357906, -122.3504067925513 47.61580720843467)"
80,1,1,1019,1ST AVE,"LINESTRING (-122.3513379855378 47.61636147381132, -122.3515542142513 47.61622337749515)"
81,1,1,1020,1ST AVE,"LINESTRING (-122.3517611571618 47.6163383259457, -122.3515617355522 47.61650092564009)"
82,1,1,9683,CLAY ST,"LINESTRING (-122.3515542142513 47.61622337749515, -122.3517611571618 47.6163383259457)"
83,1,1,9684,CLAY ST,"LINESTRING (-122.3515617355522 47.61650092564009, -122.3513379855378 47.61636147381132)"
84,1,1,1020,1ST AVE,"LINESTRING (-122.35229215733 47.61693195590475, -122.3525068326086 47.61677835652421)"
85,1,1,1021,1ST AVE,"LINESTRING (-122.3527245986502 47.61691410814934, -122.352523267754 47.61705738489702)"
86,1,1,9412,BROAD ST,"LINESTRING (-122.3525068326086 47.61677835652421, -122.3527245986502 47.61691410814934)"
87,1,1,9413,BROAD ST,"LINESTRING (-122.352523267754 47.61705738489702, -122.35229215733 47.61693195590475)"
88,1,0,1021,1ST AVE,"LINESTRING (-122.3536336688979 47.61771232344451, -122.353831877155 47.6175672032882)"
89,1,0,1022,1ST AVE,"LINESTRING (-122.3540271441308 47.61767868273991, -122.3538491718019 47.61782481757112)"
90,1,0,10139,EAGLE ST,"LINESTRING (-122.353831877155 47.6175672032882, -122.3540271441308 47.61767868273991)"
91,1,0,10140,EAGLE ST,"LINESTRING (-122.3538491718019 47.61782481757112, -122.353633668898 47.61771232344451)"
92,1,0,1022,1ST AVE,"LINESTRING (-122.3540414510577 47.61793812281194, -122.3542253301033 47.61779546843199)"
93,0,0,1023,1ST AVE,"LINESTRING (-122.3544553142917 47.61793108318837, -122.3542633560927 47.61807989047337)"
94,1,0,13462,WARREN PL,"LINESTRING (-122.3542633560927 47.61807989047337, -122.3540414510577 47.61793812281194)"
95,1,0,1023,1ST AVE,"LINESTRING (-122.354927105732 47.61847131497855, -122.3551190635066 47.6183225065895)"
96,1,0,1024,1ST AVE,"LINESTRING (-122.3553414701205 47.61846301338115, -122.3550417201321 47.61853890406992)"
97,1,1,9084,BAY ST,"LINESTRING (-122.3551190635066 47.6183225065895, -122.3553414701205 47.61846301338115)"
98,1,0,1024,1ST AVE,"LINESTRING (-122.3554539774686 47.61849925995867, -122.3554841001607 47.61851613650413)"
99,1,1,1025,1ST AVE N,"LINESTRING (-122.3555679789436 47.61868892981805, -122.3553366925933 47.61869900436428)"
100,1,0,9997,DENNY WAY,"LINESTRING (-122.3554841001607 47.61851613650413, -122.3555679789436 47.61868892981805)"
101,1,0,9998,DENNY WAY,"LINESTRING (-122.3553366925933 47.61869900436428, -122.3554539774686 47.61849925995867)"
102,1,0,1025,1ST AVE N,"LINESTRING (-122.3553284272487 47.61969228604432, -122.3555595814248 47.61969863055161)"
103,1,0,1026,1ST AVE N,"LINESTRING (-122.3555584249996 47.61983849312848, -122.3553272922265 47.61982940622082)"
104,1,0,11068,JOHN ST,"LINESTRING (-122.3555595814248 47.61969863055161, -122.3555584249996 47.61983849312848)"
105,1,0,11069,JOHN ST,"LINESTRING (-122.3553272922265 47.61982940622082, -122.3553284272487 47.61969228604432)"
106,1,0,1026,1ST AVE N,"LINESTRING (-122.3553186595493 47.6208790739667, -122.3555500222311 47.62086075410475)"
107,1,0,1027,1ST AVE N,"LINESTRING (-122.3555487372827 47.62101707110738, -122.3553177347929 47.62099151250367)"
108,1,0,13130,THOMAS ST,"LINESTRING (-122.3555500222311 47.62086075410475, -122.3555487372827 47.62101707110738)"
109,1,0,13131,THOMAS ST,"LINESTRING (-122.3553177347929 47.62099151250367, -122.3553186595493 47.6208790739667)"
110,0,0,1027,1ST AVE N,"LINESTRING (-122.3553090570236 47.62204657292479, -122.3555402671194 47.62204744195315)"
111,1,0,1028,1ST AVE N,"LINESTRING (-122.355539343136 47.62215988047202, -122.3553081325391 47.62215901209757)"
112,1,1,10829,HARRISON ST,"LINESTRING (-122.3555402671194 47.62204744195315, -122.355539343136 47.62215988047202)"
113,1,1,1028,1ST AVE N,"LINESTRING (-122.3552997584142 47.62317785344478, -122.3555309171274 47.62318558432924)"
114,1,1,1029,1ST AVE N,"LINESTRING (-122.3555335342599 47.62336111458878, -122.355290149327 47.62336017385974)"
115,1,1,12553,REPUBLICAN ST,"LINESTRING (-122.3555309171274 47.62318558432924, -122.3555335342599 47.62336111458878)"
116,1,1,12554,REPUBLICAN ST,"LINESTRING (-122.355290149327 47.62336017385974, -122.3552997584142 47.62317785344478)"
117,1,1,1029,1ST AVE N,"LINESTRING (-122.3552810170175 47.62447510434739, -122.3555243642254 47.62448128540479)"
118,1,1,1030,1ST AVE N,"LINESTRING (-122.3554984596515 47.62467453518306, -122.3553078128047 47.62467261651812)"
119,1,1,11761,MERCER ST,"LINESTRING (-122.3555243642254 47.62448128540479, -122.3554984596515 47.62467453518306)"
120,1,1,11762,MERCER ST,"LINESTRING (-122.3553078128047 47.62467261651812, -122.3552810170175 47.62447510434739)"
121,1,1,1030,1ST AVE N,"LINESTRING (-122.3553022403444 47.62536829939838, -122.3554929011107 47.62536879547139)"
122,1,1,1031,1ST AVE N,"LINESTRING (-122.3554789669664 47.625530579669, -122.3553126044757 47.62553288738146)"
123,1,1,12679,ROY ST,"LINESTRING (-122.3554929011107 47.62536879547139, -122.3554789669664 47.625530579669)"
124,1,1,12680,ROY ST,"LINESTRING (-122.3553126044757 47.62553288738146, -122.3553022403444 47.62536829939838)"
125,0,0,1031,1ST AVE N,"LINESTRING (-122.355303324331 47.62619435389877, -122.3554696379242 47.62619568191503)"
126,0,0,1032,1ST AVE N,"LINESTRING (-122.3554675050396 47.62642981091101, -122.3553011793269 47.62642978296497)"
127,0,0,13271,VALLEY ST,"LINESTRING (-122.3554665860144 47.62631737246426, -122.3554675050396 47.62642981091101)"
